25281237	0.00042159	1492.00000000	0.00042000	27431.00000000
25281238	0.00042159	1482.00000000	0.00042000	27431.00000000
25281238	0.00042159	1482.00000000	0.00042000	27431.00000000
25281238	0.00042159	1472.00000000	0.00042000	27431.00000000
25281238	0.00042159	1462.00000000	0.00042000	27431.00000000
25281238	0.00042159	1452.00000000	0.00042000	27431.00000000
25281238	0.00042159	1442.00000000	0.00042000	27431.00000000
25281238	0.00042159	1442.00000000	0.00042000	27431.00000000
25281238	0.00042159	1442.00000000	0.00042000	27431.00000000
25281238	0.00042159	1432.00000000	0.00042000	27431.00000000
25281238	0.00042159	1422.00000000	0.00042000	27431.00000000
25281238	0.00042159	1412.00000000	0.00042000	27431.00000000
25281239	0.00042159	1402.00000000	0.00042000	27431.00000000
25281239	0.00042159	1392.00000000	0.00042000	27431.00000000
25281239	0.00042159	1382.00000000	0.00042000	27431.00000000
25281239	0.00042159	1382.00000000	0.00042000	27431.00000000
25281239	0.00042159	1372.00000000	0.00042000	27431.00000000
25281239	0.00042159	1362.00000000	0.00042000	27431.00000000
25281239	0.00042159	1362.00000000	0.00042000	27431.00000000
25281239	0.00042159	1362.00000000	0.00042000	27431.00000000
25281239	0.00042159	1362.00000000	0.00042000	27431.00000000
25281239	0.00042159	1362.00000000	0.00042000	27431.00000000
25281239	0.00042159	1352.00000000	0.00042000	27431.00000000
25281239	0.00042125	169.00000000	0.00042000	26431.00000000
25281239	0.00042125	159.00000000	0.00042000	26431.00000000
25281239	0.00042125	159.00000000	0.00042045	1000.00000000
25281239	0.00042125	159.00000000	0.00042045	1000.00000000
25281239	0.00042125	149.00000000	0.00042045	1000.00000000
25281240	0.00042125	149.00000000	0.00042045	718.00000000
25281240	0.00042125	149.00000000	0.00042000	25431.00000000
25281240	0.00042125	149.00000000	0.00042000	25431.00000000
25281240	0.00042125	149.00000000	0.00042000	25431.00000000
25281240	0.00042125	139.00000000	0.00042000	25431.00000000
25281240	0.00042125	139.00000000	0.00042000	24431.00000000
25281240	0.00042125	129.00000000	0.00042000	24431.00000000
25281240	0.00042125	129.00000000	0.00042070	1000.00000000
25281240	0.00042125	129.00000000	0.00042070	1000.00000000
25281240	0.00042159	1352.00000000	0.00042070	1000.00000000
25281240	0.00042159	1352.00000000	0.00042070	1000.00000000
25281240	0.00042159	1352.00000000	0.00042070	1000.00000000
25281240	0.00042158	119.00000000	0.00042070	1000.00000000
25281240	0.00042158	119.00000000	0.00042000	23431.00000000
25281240	0.00042158	119.00000000	0.00042000	22590.00000000
25281240	0.00042158	119.00000000	0.00042000	21993.00000000
25281240	0.00042158	119.00000000	0.00042000	21993.00000000
25281240	0.00042145	1000.00000000	0.00042000	21993.00000000
25281240	0.00042145	1000.00000000	0.00042000	21993.00000000
25281240	0.00042145	990.00000000	0.00042000	21993.00000000
