SELL	1518245572983	ojqvVIgCY7iUNdwURvNEq3	10.07990000	50.00000000	0.00000000
SELL	1518245576957	5rytL74VTw1WFLUvilDX8i	10.07970000	50.00000000	0.00000000
SOLD	1518245576957	5rytL74VTw1WFLUvilDX8i	10.07970000	50.00000000	6.08000000
BUY	1518245583976	nBX5z8TA2wuYJ7lIxcmVOe	10.03020000	6.08000000	0.00000000
BUY	1518245599060	OU1OAsNGSRstIyZjV5rhmJ	10.03140000	6.08000000	0.00000000
BUY	1518245612995	DtJ3vzhaPJOQJQMeSi3D8o	10.03230000	6.08000000	0.00000000
BUY	1518245619966	14OsYGiVEXfMFNpvb8Fm13	10.03810000	6.08000000	0.00000000
BUY	1518246052091	t6ahpouiWsmTj4KS1Qa9hS	10.12550000	6.08000000	0.00000000
BUY	1518246060115	OaYlTzuLU9u9qTpOqMPU17	10.12550000	6.08000000	6.08000000
BOUGHT	1518246060115	OaYlTzuLU9u9qTpOqMPU17	10.12550000	6.08000000	6.08000000
SELL	1518246062110	lkzqE9RXdT9tJvZiHn60vw	10.16970000	50.00000000	0.00000000
SELL	1518246072974	JO0EiP6MDDjbPV3oyP1bd8	10.16430000	50.00000000	0.00000000
SELL	1518246076996	jUuMgUtvdhjky5jusxDEW9	10.15950000	50.00000000	0.00000000
SOLD	1518246076996	jUuMgUtvdhjky5jusxDEW9	10.15950000	50.00000000	50.00000000
BUY	1518246083335	7tnee8crcFc1TsvdQiItVV	10.12020000	50.00000000	0.00000000
BOUGHT	1518246083335	7tnee8crcFc1TsvdQiItVV	10.12020000	50.00000000	50.00000000
SELL	1518246103700	e9nNzQPKQigWVrMIV6IpkU	10.15910000	50.00000000	0.00000000
SOLD	1518246103700	e9nNzQPKQigWVrMIV6IpkU	10.15910000	50.00000000	1.00000000
BUY	1518246111690	hTgEGtg1Zgkdx91igagfhN	10.13020000	1.00000000	0.00000000
BUY	1518246122781	0S6STHRYLdQv3JVf8FJbkh	10.13060000	1.00000000	0.00000000
BUY	1518246155678	BTS6mIZ3UPUKxhzF0DUAxz	10.13190000	1.00000000	0.00000000
BUY	1518246159481	naNKvt5rFdRu08hjmfKMtb	10.13220000	1.00000000	0.00000000
BUY	1518246170586	ncVlRondoNA8jiBqVBSta6	10.13270000	1.00000000	0.00000000
