SELL	1518247018378	eocVKAuaExpTa2J4J3uAIE	898.12000000	1.00000000	0.00000000
SOLD	1518247018378	eocVKAuaExpTa2J4J3uAIE	898.12000000	1.00000000	1.00000000
BUY	1518247086486	Fw5EalUZh2dO5Jr1IyTret	893.81000000	1.00000000	0.00000000
BOUGHT	1518247086486	Fw5EalUZh2dO5Jr1IyTret	893.81000000	1.00000000	1.00000000
SELL	1518247406953	7yGM2QcIo2eIgtNAZ5BW41	897.41000000	1.00000000	0.00000000
SELL	1518247416979	VX63apzgrQ8YYRxEg6WqBa	896.86000000	1.00000000	0.00000000
SELL	1518247419969	vLarvgweDl7mN4nHcoiteJ	896.82000000	1.00000000	0.00000000
SOLD	1518247419969	vLarvgweDl7mN4nHcoiteJ	896.82000000	1.00000000	1.00000000
BUY	1518247590428	S4jm2H8wkT9T3372FmKr61	898.72000000	1.00000000	0.00000000
BOUGHT	1518247590428	S4jm2H8wkT9T3372FmKr61	898.72000000	1.00000000	1.00000000
SELL	1518247712859	MXdGNAF8M01mTR8y0jJW5D	902.90000000	1.00000000	0.00000000
SOLD	1518247712859	MXdGNAF8M01mTR8y0jJW5D	902.90000000	1.00000000	1.00000000
BUY	1518247811010	H8EJAHH4VuycGeFDg6UrBk	900.70000000	1.00000000	0.00000000
BOUGHT	1518247811010	H8EJAHH4VuycGeFDg6UrBk	900.70000000	1.00000000	1.00000000
SELL	1518247850130	4lsrcAXVva2pz9Vzi7PVvi	903.96000000	1.00000000	0.00000000
SOLD	1518247850130	4lsrcAXVva2pz9Vzi7PVvi	903.96000000	1.00000000	1.00000000
BUY	1518248066530	GZIXbaPgJhRR2PQiZJWrTd	903.13000000	1.00000000	0.00000000
BOUGHT	1518248066530	GZIXbaPgJhRR2PQiZJWrTd	903.13000000	1.00000000	1.00000000
